"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2023","3,976.00","4,155.72","4,233.16","3,975.87","","-4.71%"
"06/01/2023","4,172.50","4,452.80","4,454.00","4,080.70","","-6.20%"
"05/01/2023","4,448.50","4,695.25","4,732.63","4,372.80","","-5.26%"
"04/01/2023","4,695.50","4,662.62","4,718.03","4,393.75","","0.95%"
"03/01/2023","4,651.50","4,859.90","4,898.50","4,570.85","","-4.22%"
"02/01/2023","4,856.68","4,668.51","4,998.49","4,542.58","","4.05%"
"01/01/2023","4,667.72","4,848.00","5,008.88","4,489.54","","-3.70%"
"12/01/2022","4,847.00","4,830.57","4,861.00","4,727.21","","0.41%"
"11/01/2022","4,827.00","4,936.60","5,123.13","4,767.21","","-2.08%"
"10/01/2022","4,929.35","4,610.00","5,003.58","4,462.04","","7.06%"
"09/01/2022","4,604.13","4,429.00","4,616.25","4,322.23","","4.10%"
"08/01/2022","4,423.00","4,287.00","4,447.29","4,154.44","","3.40%"
"07/01/2022","4,277.60","4,151.37","4,665.21","4,151.37","","3.27%"
"06/01/2022","4,141.97","3,770.00","4,179.80","3,754.70","","10.14%"
"05/01/2022","3,760.60","3,958.00","4,133.00","3,763.45","","-4.82%"
"04/01/2022","3,950.95","3,773.00","3,999.75","3,690.00","","4.86%"
"03/01/2022","3,767.82","3,937.00","3,947.00","3,727.80","","-4.20%"
"02/01/2022","3,933.01","3,947.78","3,983.00","3,894.21","","-0.21%"
"01/01/2022","3,941.41","4,070.00","4,105.50","3,923.61","","-3.05%"
"12/01/2021","4,065.41","3,995.00","4,075.74","3,875.80","","1.83%"
"11/01/2021","3,992.20","3,760.00","4,040.00","3,757.03","","6.25%"
"10/01/2021","3,757.53","3,807.80","3,807.80","3,713.50","","-1.26%"
"09/01/2021","3,805.33","3,769.15","3,868.19","3,738.90","","1.03%"
"08/01/2021","3,766.68","3,878.00","4,009.14","3,761.50","","-2.77%"
"07/01/2021","3,874.00","3,750.00","3,939.70","3,725.80","","3.39%"
"06/01/2021","3,747.00","3,708.00","3,798.00","3,573.00","","1.11%"
"05/01/2021","3,705.75","3,753.30","3,866.75","3,643.35","","-1.22%"
"04/01/2021","3,751.43","3,661.70","3,759.05","3,587.55","","2.53%"
"03/01/2021","3,658.95","3,647.00","3,755.00","3,515.68","","0.40%"
"02/01/2021","3,644.50","3,569.00","3,651.95","3,481.90","","2.15%"
"01/01/2021","3,567.63","3,422.00","3,665.91","3,379.71","","4.48%"
"12/01/2020","3,414.50","3,596.25","3,597.58","3,399.80","","-5.00%"
"11/01/2020","3,594.25","3,870.35","3,882.79","3,580.39","","-7.10%"
"10/01/2020","3,868.85","3,827.00","3,905.45","3,754.50","","1.14%"
"09/01/2020","3,825.25","3,740.45","3,908.32","3,620.71","","2.29%"
"08/01/2020","3,739.71","3,733.33","3,888.00","3,727.19","","0.22%"
"07/01/2020","3,731.33","3,758.00","3,760.13","3,599.61","","-0.45%"
"06/01/2020","3,748.32","3,730.00","3,790.00","3,542.06","","0.60%"
"05/01/2020","3,726.00","3,954.50","4,010.64","3,691.24","","-5.73%"
"04/01/2020","3,952.58","4,059.00","4,123.18","3,825.91","","-2.62%"
"03/01/2020","4,059.00","3,527.00","4,220.38","3,414.94","","15.21%"
"02/01/2020","3,523.00","3,420.00","3,550.01","3,339.00","","3.10%"
"01/01/2020","3,417.00","3,287.23","3,429.45","3,238.60","","4.01%"
"12/01/2019","3,285.23","3,518.00","3,528.75","3,264.68","","-6.55%"
"11/01/2019","3,515.50","3,380.00","3,549.20","3,295.06","","4.10%"
"10/01/2019","3,377.00","3,480.00","3,504.00","3,369.50","","-2.87%"
"09/01/2019","3,476.75","3,442.65","3,491.00","3,346.25","","1.08%"
"08/01/2019","3,439.65","3,280.93","3,495.54","3,279.93","","4.92%"
"07/01/2019","3,278.43","3,212.75","3,304.85","3,163.68","","2.10%"
"06/01/2019","3,211.00","3,380.00","3,382.35","3,169.64","","-4.86%"
"05/01/2019","3,375.00","3,233.25","3,394.83","3,225.75","","4.45%"
"04/01/2019","3,231.25","3,188.03","3,253.51","3,092.69","","1.42%"
"03/01/2019","3,186.03","3,081.50","3,207.00","3,072.00","","3.43%"
"02/01/2019","3,080.25","3,105.00","3,164.45","3,065.65","","-0.74%"
"01/01/2019","3,103.25","3,247.50","3,264.99","3,102.49","","-4.37%"
"12/01/2018","3,245.00","3,234.00","3,303.50","3,138.55","","0.39%"
"11/01/2018","3,232.50","3,219.50","3,296.03","3,126.83","","0.54%"
"10/01/2018","3,215.13","2,962.80","3,229.04","2,961.55","","8.63%"
"09/01/2018","2,959.80","3,051.50","3,113.23","2,959.16","","-2.84%"
"08/01/2018","3,046.25","2,890.50","3,082.40","2,883.48","","5.48%"
"07/01/2018","2,888.10","2,931.05","2,942.48","2,851.18","","-1.40%"
"06/01/2018","2,929.25","2,893.50","2,961.23","2,820.18","","1.37%"
"05/01/2018","2,889.70","2,800.71","2,944.06","2,798.20","","3.06%"
"04/01/2018","2,804.00","2,793.05","2,832.92","2,684.60","","0.50%"
"03/01/2018","2,790.00","2,866.75","2,905.00","2,767.52","","-2.63%"
"02/01/2018","2,865.50","2,830.20","2,946.00","2,792.48","","1.28%"
"01/01/2018","2,829.40","2,979.13","2,986.33","2,758.09","","-5.12%"
"12/01/2017","2,982.00","3,015.45","3,037.30","2,953.25","","-1.00%"
"11/01/2017","3,011.99","3,041.80","3,082.00","2,968.50","","-0.95%"
"10/01/2017","3,041.00","2,939.00","3,048.50","2,913.55","","3.69%"
"09/01/2017","2,932.65","2,945.75","2,951.27","2,887.00","","-0.49%"
"08/01/2017","2,947.10","2,990.25","3,022.10","2,907.50","","-1.24%"
"07/01/2017","2,984.00","3,045.40","3,108.00","2,984.13","","-1.89%"
"06/01/2017","3,041.58","2,916.40","3,075.25","2,881.00","","4.31%"
"05/01/2017","2,916.00","2,941.68","2,994.50","2,860.13","","-0.76%"
"04/01/2017","2,938.31","2,873.38","2,963.99","2,827.45","","2.27%"
"03/01/2017","2,873.11","2,925.00","3,023.40","2,870.43","","-1.73%"
"02/01/2017","2,923.70","2,917.00","2,932.20","2,837.65","","0.18%"
"01/01/2017","2,918.50","3,002.00","3,002.25","2,891.75","","-2.77%"
"12/01/2016","3,001.50","3,074.65","3,099.25","2,953.97","","-2.36%"
"11/01/2016","3,074.00","3,006.95","3,209.08","2,947.06","","2.36%"
"10/01/2016","3,003.00","2,882.06","3,009.90","2,880.68","","4.19%"
"09/01/2016","2,882.35","2,972.00","3,007.96","2,822.15","","-2.99%"
"08/01/2016","2,971.10","3,071.30","3,130.77","2,851.27","","-3.12%"
"07/01/2016","3,066.93","2,920.15","3,106.95","2,881.00","","5.06%"
"06/01/2016","2,919.15","3,091.00","3,128.00","2,864.32","","-5.52%"
"05/01/2016","3,089.70","2,853.80","3,092.96","2,816.50","","8.56%"
"04/01/2016","2,846.05","3,005.00","3,121.75","2,837.98","","-5.12%"
"03/01/2016","2,999.51","3,306.30","3,307.80","2,988.89","","-8.84%"
"02/01/2016","3,290.23","3,284.70","3,454.25","3,275.60","","0.34%"
"01/01/2016","3,278.92","3,175.00","3,427.05","3,171.53","","3.45%"
"12/01/2015","3,169.50","3,145.00","3,376.50","3,107.25","","0.82%"
"11/01/2015","3,143.60","2,896.86","3,154.60","2,784.40","","8.55%"
"10/01/2015","2,895.86","3,101.25","3,102.63","2,832.25","","-6.19%"
"09/01/2015","3,086.81","3,064.50","3,197.63","2,949.93","","1.07%"
"08/01/2015","3,054.20","2,879.60","3,268.50","2,877.25","","6.09%"
"07/01/2015","2,879.00","2,604.50","2,890.35","2,603.00","","10.53%"
"06/01/2015","2,604.73","2,531.00","2,636.23","2,506.18","","2.95%"
"05/01/2015","2,530.00","2,382.00","2,569.75","2,351.10","","6.26%"
"04/01/2015","2,381.00","2,600.50","2,600.95","2,374.45","","-8.39%"
"03/01/2015","2,599.00","2,499.98","2,700.85","2,496.00","","3.98%"
"02/01/2015","2,499.50","2,440.00","2,518.00","2,347.50","","2.48%"
"01/01/2015","2,439.00","2,388.50","2,463.63","2,343.04","","2.14%"
"12/01/2014","2,388.00","2,217.30","2,472.60","2,213.50","","7.74%"
"11/01/2014","2,216.50","2,057.49","2,218.29","2,055.32","","7.75%"
"10/01/2014","2,057.00","2,024.69","2,083.99","2,011.50","","1.59%"
"09/01/2014","2,024.90","1,920.75","2,036.76","1,917.43","","5.45%"
"08/01/2014","1,920.25","1,877.24","1,940.00","1,866.74","","2.35%"
"07/01/2014","1,876.16","1,879.80","1,892.51","1,838.30","","-0.14%"
"06/01/2014","1,878.75","1,898.50","1,907.32","1,870.88","","-0.91%"
"05/01/2014","1,896.00","1,934.75","1,937.97","1,894.55","","-2.02%"
"04/01/2014","1,935.00","1,970.50","1,986.50","1,913.47","","-1.84%"
"03/01/2014","1,971.37","2,046.00","2,058.77","1,955.16","","-3.48%"
"02/01/2014","2,042.50","2,014.80","2,067.50","2,007.76","","1.36%"
"01/01/2014","2,015.04","1,932.00","2,029.80","1,918.52","","4.46%"
"12/01/2013","1,929.00","1,930.00","1,952.80","1,913.95","","-0.13%"
"11/01/2013","1,931.50","1,892.16","1,940.53","1,891.15","","2.09%"
"10/01/2013","1,892.00","1,906.39","1,912.40","1,875.65","","-0.73%"
"09/01/2013","1,906.00","1,932.92","1,959.40","1,880.60","","-1.36%"
"08/01/2013","1,932.33","1,894.77","1,947.49","1,865.00","","1.97%"
"07/01/2013","1,895.00","1,921.69","1,932.92","1,867.78","","-1.32%"
"06/01/2013","1,920.35","1,903.62","1,949.00","1,873.54","","0.98%"
"05/01/2013","1,901.70","1,825.08","1,920.75","1,822.00","","4.23%"
"04/01/2013","1,824.49","1,825.00","1,855.47","1,810.57","","0.30%"
"03/01/2013","1,819.00","1,812.50","1,837.40","1,795.64","","0.39%"
"02/01/2013","1,811.90","1,772.05","1,822.84","1,772.05","","2.06%"
"01/01/2013","1,775.41","1,764.38","1,782.70","1,743.85","","0.48%"
"12/01/2012","1,767.00","1,815.60","1,816.40","1,756.60","","-2.66%"
"11/01/2012","1,815.20","1,831.30","1,838.60","1,808.35","","-0.90%"
"10/01/2012","1,831.76","1,799.53","1,835.47","1,788.99","","1.78%"
"09/01/2012","1,799.75","1,823.97","1,826.58","1,784.05","","-1.35%"
"08/01/2012","1,824.31","1,792.76","1,838.76","1,776.94","","1.80%"
"07/01/2012","1,792.10","1,782.73","1,806.40","1,766.00","","0.52%"
"06/01/2012","1,782.84","1,828.66","1,845.56","1,757.66","","-2.47%"
"05/01/2012","1,828.00","1,762.00","1,853.00","1,749.60","","3.72%"
"04/01/2012","1,762.38","1,787.18","1,798.78","1,755.53","","-1.40%"
"03/01/2012","1,787.46","1,766.76","1,798.96","1,755.22","","1.20%"
"02/01/2012","1,766.27","1,809.27","1,809.57","1,760.07","","-2.42%"
"01/01/2012","1,810.00","1,937.00","1,937.90","1,795.50","","-6.63%"
"12/01/2011","1,938.50","1,953.65","1,956.00","1,916.50","","-0.70%"
"11/01/2011","1,952.08","1,865.92","1,972.92","1,865.92","","4.61%"
"10/01/2011","1,866.00","1,930.99","1,988.00","1,856.00","","-3.32%"
"09/01/2011","1,930.00","1,777.01","1,936.11","1,775.01","","8.55%"
"08/01/2011","1,778.00","1,777.70","1,818.00","1,760.60","","0.00%"
"07/01/2011","1,777.95","1,769.25","1,785.25","1,746.25","","0.52%"
"06/01/2011","1,768.75","1,803.25","1,803.25","1,765.45","","-1.95%"
"05/01/2011","1,804.00","1,769.70","1,841.00","1,754.20","","2.00%"
"04/01/2011","1,768.70","1,871.50","1,871.50","1,759.20","","-5.49%"
"03/01/2011","1,871.50","1,907.10","1,921.00","1,858.80","","-1.86%"
"02/01/2011","1,907.00","1,866.80","1,913.60","1,841.00","","1.81%"
"01/01/2011","1,873.10","1,916.30","1,960.30","1,820.20","","-2.44%"
"12/01/2010","1,920.00","1,947.00","2,035.00","1,873.80","","-1.18%"
"11/01/2010","1,943.00","1,826.00","1,944.40","1,813.80","","5.64%"
"10/01/2010","1,839.30","1,796.30","1,850.30","1,781.10","","2.10%"
"09/01/2010","1,801.55","1,826.05","1,826.15","1,786.05","","-1.34%"
"08/01/2010","1,825.95","1,840.95","1,843.85","1,795.95","","-1.04%"
"07/01/2010","1,845.10","1,916.90","1,916.90","1,836.20","","-3.75%"
"06/01/2010","1,916.90","1,974.50","1,979.90","1,879.85","","-2.76%"
"05/01/2010","1,971.30","1,954.85","2,047.70","1,947.65","","0.75%"
"04/01/2010","1,956.60","1,922.55","1,984.00","1,901.50","","1.89%"
"03/01/2010","1,920.30","1,943.70","1,945.50","1,880.20","","-0.23%"
"02/01/2010","1,924.80","1,988.20","2,014.50","1,911.50","","-3.02%"
"01/01/2010","1,984.70","2,042.25","2,056.50","1,951.60","","-2.85%"
"12/01/2009","2,043.00","2,003.40","2,064.75","1,983.50","","1.97%"
"11/01/2009","2,003.45","1,994.15","2,031.20","1,947.80","","0.47%"
"10/01/2009","1,994.12","1,933.83","2,038.12","1,813.62","","3.28%"
"09/01/2009","1,930.70","2,059.50","2,089.00","1,903.50","","-6.23%"
"08/01/2009","2,058.95","2,035.35","2,069.45","1,974.05","","1.03%"
"07/01/2009","2,037.90","2,144.50","2,144.50","1,942.50","","-4.91%"
"06/01/2009","2,143.15","2,142.42","2,213.92","1,995.42","","0.08%"
"05/01/2009","2,141.40","2,290.02","2,293.60","2,130.70","","-6.47%"
"04/01/2009","2,289.60","2,545.90","2,578.70","2,275.50","","-10.15%"
"03/01/2009","2,548.25","2,556.41","2,614.11","2,320.01","","-0.23%"
"02/01/2009","2,554.15","2,435.65","2,609.75","2,405.55","","4.87%"
"01/01/2009","2,435.60","2,248.70","2,438.20","2,185.80","","8.32%"
"12/01/2008","2,248.58","2,317.52","2,344.02","2,148.62","","-3.04%"
"11/01/2008","2,319.03","2,386.82","2,386.82","2,255.82","","-2.77%"
"10/01/2008","2,385.00","2,159.50","2,421.90","2,133.60","","8.95%"
"09/01/2008","2,189.05","1,941.35","2,222.55","1,935.65","","13.08%"
"08/01/2008","1,935.78","1,789.22","1,943.82","1,764.12","","7.81%"
"07/01/2008","1,795.50","1,923.50","1,965.60","1,694.10","","-6.17%"
"06/01/2008","1,913.50","1,747.50","1,979.80","1,636.10","","9.54%"
"05/01/2008","1,746.85","1,760.15","1,809.55","1,729.75","","-0.80%"
"04/01/2008","1,761.00","1,831.10","1,833.00","1,750.00","","-3.80%"
"03/01/2008","1,830.55","1,838.45","1,913.35","1,799.95","","-0.49%"
"02/01/2008","1,839.50","1,939.10","1,947.00","1,834.80","","-5.10%"
"01/01/2008","1,938.30","2,015.20","2,047.70","1,930.70","","-3.95%"
"12/01/2007","2,018.00","2,053.10","2,062.50","1,982.90","","-1.71%"
"11/01/2007","2,053.05","1,983.95","2,100.95","1,983.65","","3.51%"
"10/01/2007","1,983.50","2,022.50","2,037.70","1,955.50","","-2.03%"
"09/01/2007","2,024.50","2,164.75","2,204.50","1,992.20","","-6.43%"
"08/01/2007","2,163.62","1,955.38","2,186.38","1,951.38","","10.61%"
"07/01/2007","1,956.00","1,975.90","1,993.90","1,908.80","","-0.98%"
"06/01/2007","1,975.45","1,895.35","1,985.55","1,872.55","","4.28%"
"05/01/2007","1,894.40","2,102.80","2,106.60","1,892.45","","-9.92%"
"04/01/2007","2,103.10","2,203.20","2,203.20","2,098.95","","-4.52%"
"03/01/2007","2,202.65","2,230.35","2,255.35","2,148.25","","-1.25%"
"02/01/2007","2,230.50","2,252.40","2,256.50","2,204.50","","-0.97%"
"01/01/2007","2,252.45","2,239.05","2,268.40","2,201.55","","0.62%"
"12/01/2006","2,238.50","2,297.50","2,301.50","2,224.70","","-2.55%"
"11/01/2006","2,297.00","2,305.00","2,331.00","2,264.90","","-0.35%"
"10/01/2006","2,305.00","2,398.25","2,406.50","2,304.80","","-3.88%"
"09/01/2006","2,398.12","2,395.88","2,423.38","2,375.88","","0.05%"
"08/01/2006","2,397.00","2,429.10","2,447.00","2,352.30","","-1.28%"
"07/01/2006","2,428.05","2,573.05","2,580.95","2,420.45","","-5.66%"
"06/01/2006","2,573.80","2,491.70","2,656.50","2,425.50","","3.36%"
"05/01/2006","2,490.22","2,377.02","2,542.12","2,323.92","","4.69%"
"04/01/2006","2,378.65","2,291.15","2,383.55","2,280.65","","3.83%"
"03/01/2006","2,290.85","2,245.35","2,300.35","2,243.35","","2.00%"
"02/01/2006","2,246.00","2,268.41","2,270.60","2,240.53","","-0.93%"
"01/01/2006","2,267.00","2,287.01","2,287.05","2,256.40","","-0.85%"
"12/01/2005","2,286.50","2,275.00","2,289.70","2,272.50","","0.54%"
"11/01/2005","2,274.25","2,290.25","2,290.75","2,270.60","","-0.69%"
"10/01/2005","2,290.00","2,287.50","2,312.00","2,275.50","","0.12%"
"09/01/2005","2,287.35","2,302.35","2,311.80","2,274.05","","-0.67%"
"08/01/2005","2,302.75","2,317.65","2,318.75","2,290.45","","-0.29%"
"07/01/2005","2,309.50","2,318.50","2,346.50","2,306.50","","-0.77%"
"06/01/2005","2,327.50","2,339.01","2,367.00","2,311.00","","-0.43%"
"05/01/2005","2,337.51","2,346.00","2,351.15","2,318.00","","-0.45%"
"04/01/2005","2,348.00","2,371.00","2,379.50","2,323.00","","-0.98%"
"03/01/2005","2,371.25","2,330.25","2,407.75","2,319.25","","1.80%"
"02/01/2005","2,329.25","2,363.25","2,375.75","2,302.85","","-1.47%"
"01/01/2005","2,364.00","2,352.00","2,399.50","2,312.00","","0.49%"
"12/01/2004","2,352.50","2,481.00","2,492.50","2,285.50","","-5.08%"
"11/01/2004","2,478.50","2,565.00","2,580.00","2,472.00","","-3.43%"
"10/01/2004","2,566.50","2,617.80","2,638.00","2,536.50","","-2.17%"
"09/01/2004","2,623.50","2,542.50","2,623.50","2,513.00","","3.43%"
"08/01/2004","2,536.50","2,612.50","2,622.50","2,532.50","","-2.98%"
"07/01/2004","2,614.40","2,688.95","2,690.95","2,608.45","","-2.83%"
"06/01/2004","2,690.47","2,738.07","2,746.47","2,685.47","","-1.71%"
"05/01/2004","2,737.28","2,657.62","2,775.72","2,646.22","","3.00%"
"04/01/2004","2,657.50","2,677.50","2,682.50","2,598.80","","-0.69%"
"03/01/2004","2,676.00","2,679.00","2,689.00","2,640.00","","-0.21%"
"02/01/2004","2,681.50","2,739.50","2,764.20","2,642.00","","-2.10%"
"01/01/2004","2,739.00","2,780.00","2,783.90","2,713.20","","-1.47%"
"12/01/2003","2,780.00","2,833.00","2,834.40","2,766.70","","-1.92%"
"11/01/2003","2,834.40","2,875.10","2,896.00","2,817.70","","-1.45%"
"10/01/2003","2,876.10","2,901.50","2,915.80","2,846.70","","-0.82%"
"09/01/2003","2,899.75","2,826.95","2,905.25","2,807.95","","2.52%"
"08/01/2003","2,828.35","2,883.15","2,906.15","2,826.65","","-1.93%"
"07/01/2003","2,884.00","2,808.50","2,897.30","2,806.50","","2.38%"
"06/01/2003","2,817.00","2,847.00","2,858.50","2,804.00","","-1.07%"
"05/01/2003","2,847.50","2,871.50","2,932.50","2,794.50","","-0.80%"
"04/01/2003","2,870.50","2,959.00","2,961.04","2,862.50","","-2.98%"
"03/01/2003","2,958.75","2,960.75","2,964.85","2,937.95","","-0.13%"
"02/01/2003","2,962.55","2,902.45","3,001.95","2,889.45","","0.51%"
"01/01/2003","2,947.50","2,857.00","2,982.50","2,795.00","","2.81%"
